j,v1,v2,v3,time
0,0.0599725,0.0589654,1.96197,0.00198364
2,0.0569512,0.0569512,1.89299,0.00402832
4,0.0549874,0.0549874,1.83598,0.00588989
6,0.0529732,0.0539803,1.781,0.00769043
8,0.0519661,0.0519661,1.72898,0.00952148
10,0.050959,0.0499519,1.67596,0.0113525
12,0.0479881,0.0479881,1.625,0.0131836
14,0.0459739,0.0449668,1.57595,0.0150757
16,0.0459739,0.0459739,1.52796,0.0169372
18,0.0439597,0.0429526,1.48395,0.0187683
20,0.0419959,0.0429526,1.44095,0.0205994
22,0.0419959,0.0419959,1.39896,0.0223999
24,0.0409888,0.0399817,1.35897,0.0242309
26,0.0389746,0.0379675,1.31799,0.0260315
28,0.0379675,0.0389746,1.27997,0.0278625
30,0.0359533,0.0359533,1.24296,0.0296631
32,0.0359533,0.0359533,1.20796,0.0314636
34,0.0349965,0.0349965,1.17296,0.0333252
36,0.0319753,0.0339894,1.13897,0.0351257
38,0.0319753,0.0339894,1.107,0.0369568
40,0.0319753,0.0309682,1.07598,0.0387573
42,0.0309682,0.0299611,1.04496,0.0405884
44,0.0299611,0.0309682,1.00599,0.0423889
46,0.028954,0.0299611,0.984989,0.04422
48,0.028954,0.0279972,0.955985,0.0460205
50,0.0319753,0.0279972,0.930959,0.047821
52,0.0269901,0.0269901,0.903968,0.0496521
54,0.025983,0.025983,0.877985,0.0514526
56,0.024976,0.025983,0.853966,0.0532837
58,0.0229618,0.0239689,0.82899,0.0550842
60,0.0239689,0.024976,0.806985,0.0569153
62,0.0229618,0.0219547,0.782966,0.0587158
64,0.0219547,0.0219547,0.761968,0.0605164
66,0.0209979,0.0219547,0.739963,0.0623779
68,0.0199908,0.0219547,0.718965,0.0641785
70,0.0199908,0.0209979,0.699981,0.0660095
72,0.0199908,0.0189837,0.681954,0.06781
74,0.0189837,0.0199908,0.658993,0.0696411
76,0.0189837,0.0199908,0.641973,0.0714417
78,0.0179766,0.0169695,0.624953,0.0732727
80,0.0169695,0.0179766,0.606976,0.0750732
82,0.0169695,0.0189837,0.589956,0.0768738
84,0.0149554,0.0139986,0.57495,0.0787048
86,0.0149554,0.0159625,0.559995,0.0805053
88,0.0149554,0.0139986,0.543982,0.0823364
90,0.0139986,0.0169695,0.529984,0.084137
