j,vdac,v1,v2,time
0,0.0,0.0879698,0.0609796,0.399841
5,0.0646555,0.128958,0.0559945,0.802917
10,0.129361,0.18596,0.0839917,1.2052
15,0.194067,0.245983,0.12498,1.60785
20,0.258773,0.305955,0.163955,2.01038
25,0.323479,0.364971,0.20298,2.4129
30,0.388185,0.42298,0.242962,2.8154
35,0.45289,0.488995,0.282994,3.21793
40,0.517596,0.544989,0.323982,3.62042
45,0.582302,0.606976,0.370963,4.02295
50,0.647008,0.664985,0.403996,4.42545
55,0.711714,0.724957,0.443978,4.828
60,0.77642,0.785987,0.484967,5.2305
65,0.841126,0.854973,0.523991,5.63303
70,0.905832,0.914996,0.569965,6.07819
75,0.970537,0.974969,0.60899,6.48126
80,1.03524,1.036,0.647965,6.88452
85,1.09995,1.09597,0.687997,7.28708
90,1.16465,1.15695,0.727978,7.68961
95,1.22936,1.21798,0.76796,8.09216
100,1.29407,1.28198,0.800993,8.49469
105,1.35877,1.34397,0.850995,8.89725
110,1.42348,1.40298,0.890977,9.29977
115,1.48818,1.46396,0.929951,9.7023
120,1.55289,1.52399,0.969983,10.1048
125,1.6176,1.58396,1.01198,10.5074
130,1.6823,1.64398,1.05196,10.9099
135,1.74706,1.71498,1.09199,11.3124
140,1.81171,1.76398,1.13897,11.8083
145,1.87642,1.82496,1.17095,12.2114
150,1.94112,1.88095,1.213,12.6146
155,2.00588,1.95099,1.24996,13.0172
160,2.07054,1.99098,1.29598,13.4196
165,2.13524,2.05996,1.327,13.8222
170,2.19995,2.11898,1.37096,14.2247
175,2.2647,2.18998,1.40998,14.6272
180,2.32936,2.23696,1.45696,15.0297
185,2.39407,2.29597,1.48798,15.4322
190,2.45877,2.35796,1.52796,15.8338
195,2.52353,2.43797,1.56699,16.2363
200,2.58818,2.48596,1.61896,16.6388
205,2.65289,2.54996,1.64897,17.0414
210,2.7176,2.61195,1.69096,17.489
215,2.78235,2.66895,1.72999,17.8921
220,2.84701,2.66895,1.77596,18.2953
225,2.91171,2.66895,1.80597,18.6982
230,2.97642,2.66895,1.84696,19.1007
235,3.04117,2.66895,1.88498,19.5032
240,3.10583,2.66895,1.93,19.9058
245,3.17054,2.66895,1.95497,20.3083
250,3.23524,2.66895,1.98096,20.7108
